Review ID,Review,Overall sentiment (Annotator),Explicit Aspect,Implicit Aspect phrase,Category,Explicit Opinion ,Implicit Opinion  phrase,Sentiment towards aspect
1,The place is nice and peasant. Worth for the money. Staff was very friendly and supportive.,Positive,staff,-,Human Resources ,friendly and supportive,-,Positive
1,The place is nice and peasant. Worth for the money. Staff was very friendly and supportive.,Positive,place,-,Location,nice and pleasant,-,Positive
1,The place is nice and peasant. Worth for the money. Staff was very friendly and supportive.,Positive,money,-,Value,worth ,-,Positive
2,"Poor room  service response ,
Calling to the reception takes so much time to have an answer.
Water request take more than One  & half hour 
I requested king size bed ,but they give twin bed",Negative,null,requested king size bed,Reservations,null,"requested king size bed ,but they give twin bed.",Negative
2,"Poor room  service response ,
Calling to the reception takes so much time to have an answer.
Water request take more than One  & half hour 
I requested king size bed ,but they give twin bed.",Negative,reception,-,Human Resources ,null,takes so much time to have an answer,Negative
2,"Poor room  service response ,
Calling to the reception takes so much time to have an answer.
Water request take more than One  & half hour 
I requested king size bed ,but they give twin bed.",Negative,water request,,Room services,null,take more than One & half hour,Negative
2,"Poor room  service response ,
Calling to the reception takes so much time to have an answer.
Water request take more than One  & half hour 
I requested king size bed ,but they give twin bed.",Negative,room service,-,Room services,poor,-,Negative
3,"Mosquitoes ☹️
No markets and services around
The noise and veiw of the maintenance work
Poor internet signals sometimes",Negative,null,"No markets and services around
",Location,null,No markets and services around,Negative
3,"Mosquitoes ☹️
No markets and services around
The noise and veiw of the maintenance work
Poor internet signals sometimes",Negative,null,"The noise and veiw of the maintenance work",General,null,The noise and veiw of the maintenance work,Negative
3,"Mosquitoes ☹️
No markets and services around
The noise and veiw of the maintenance work
Poor internet signals sometimes",Negative,Mosquitoes ,-,General,null,☹️,Negative
3,"Mosquitoes ☹️
No markets and services around
The noise and veiw of the maintenance work
Poor internet signals sometimes",Negative,internet signals ,-,Amenities ,poor,-,Negative
4,"Amazing services, amazing staff, amazing room",Positive,service,-,Human Resources ,amazing,-,Positive
4,"Amazing services, amazing staff, amazing room",Positive,room,-,Room,amazing,-,Positive
4,"Amazing services, amazing staff, amazing room",Positive,staff,-,Human Resources ,amazing,-,Positive
5,“bad experience”,Negative,experience,-,General,bad,-,Negative
6,"Quiet, bigger then average. Perfect air conditioning - adjustable.
Good dinners.",Positive,null,-,Room,bigger,-,Positive
6,"Quiet, bigger then average. Perfect air conditioning - adjustable.
Good dinners.",Positive,dinner,-,Food and beverage,good,-,Positive
6,"Quiet, bigger then average. Perfect air conditioning - adjustable.
Good dinners.",Positive,air conditioning,-,Amenities ,null,adjustable,Positive
6,"Quiet, bigger then average. Perfect air conditioning - adjustable.
Good dinners.",Positive,air conditioning,-,Amenities ,perfect,-,Positive
6,"Quiet, bigger then average. Perfect air conditioning - adjustable.
Good dinners.",Positive,null,-,Room,Quiet,-,Positive
7,the management need to learn more on how to be professional,Negative,management,-,Human Resources ,null,how to be professional,Negative
8,"The hotel was neat 
I spent 2 nights was very comfy 
The rooms are pretty small 
And the queen bed is really a single bed in other hotels but it’s okay for two persons without a baby 
The room was clean but u have to ask for towels",Nuetral ,queen bed,-,Room,-,bed is really a single bed,Negative
8,"The hotel was neat 
I spent 2 nights was very comfy 
The rooms are pretty small 
And the queen bed is really a single bed in other hotels but it’s okay for two persons without a baby 
The room was clean but u have to ask for towels",Nuetral ,room,-,Room,clean,-,Positive
8,"The hotel was neat 
I spent 2 nights was very comfy 
The rooms are pretty small 
And the queen bed is really a single bed in other hotels but it’s okay for two persons without a baby 
The room was clean but u have to ask for towels",Nuetral ,hotel,-,General,comfy,-,Positive
8,"The hotel was neat 
I spent 2 nights was very comfy 
The rooms are pretty small 
And the queen bed is really a single bed in other hotels but it’s okay for two persons without a baby 
The room was clean but u have to ask for towels",Nuetral ,hotel,-,General,neat,-,Positive
8,"The hotel was neat 
I spent 2 nights was very comfy 
The rooms are pretty small 
And the queen bed is really a single bed in other hotels but it’s okay for two persons without a baby 
The room was clean but u have to ask for towels",Nuetral ,towels,-,Amenities ,null,have to ask for,Negative
8,"The hotel was neat 
I spent 2 nights was very comfy 
The rooms are pretty small 
And the queen bed is really a single bed in other hotels but it’s okay for two persons without a baby 
The room was clean but u have to ask for towels",Nuetral ,queen bed,-,Furniture ,-,is single bed ,Negative
8,"The hotel was neat 
I spent 2 nights was very comfy 
The rooms are pretty small 
And the queen bed is really a single bed in other hotels but it’s okay for two persons without a baby 
The room was clean but u have to ask for towels",Nuetral ,room,-,Room,small,-,Negative
